t;x;vx;ax;frame;px;K;
2,251;0,196;-2,269E-2;0,303;275;-2,269E-2;2,575E-4
2,268;0,195;-2,521E-2;8,645E-2;276;-2,521E-2;3,179E-4
2,285;0,195;-2,017E-2;-0,346;277;-2,017E-2;2,034E-4
2,301;0,195;-3,278E-2;-1,340;278;-3,278E-2;5,404E-4
2,318;0,194;-6,808E-2;-1,167;279;-6,808E-2;2,346E-3
2,335;0,192;-7,564E-2;0,259;280;-7,564E-2;2,940E-3
2,351;0,191;-5,547E-2;0,346;281;-5,547E-2;1,567E-3
2,368;0,191;-6,051E-2;-1,297;282;-6,051E-2;1,831E-3
2,385;0,189;-0,101;-0,951;283;-0,101;5,086E-3
2,401;0,187;-0,101;1,124;284;-0,101;5,086E-3
2,418;0,186;-5,547E-2;1,383;285;-5,547E-2;1,539E-3
2,435;0,185;-5,043E-2;-0,432;286;-5,043E-2;1,272E-3
2,451;0,184;-7,564E-2;-1,815;287;-7,564E-2;2,861E-3
2,468;0,183;-0,108;-1,599;288;-0,108;5,878E-3
2,485;0,181;-0,134;-0,735;289;-0,134;8,929E-3
2,501;0,178;-0,131;0,692;290;-0,131;8,599E-3
2,518;0,176;-0,111;1,037;291;-0,111;6,157E-3
2,535;0,175;-9,329E-2;0,389;292;-9,329E-2;4,352E-3
2,551;0,173;-9,834E-2;-0,303;293;-9,834E-2;4,835E-3
2,568;0,171;-0,106;-1,815;294;-0,106;5,607E-3
2,585;0,170;-0,151;-0,778;295;-0,151;1,146E-2
2,601;0,166;-0,151;1,470;296;-0,151;1,147E-2
2,618;0,165;-8,573E-2;1,729;297;-8,573E-2;3,687E-3
2,635;0,163;-9,077E-2;-0,692;298;-9,077E-2;4,148E-3
2,651;0,162;-0,119;-1,513;299;-0,119;7,022E-3
2,668;0,160;-0,136;0,346;300;-0,136;9,298E-3
2,685;0,157;-0,116;1,210;301;-0,116;6,755E-3
2,701;0,156;-8,321E-2;0,648;302;-8,321E-2;3,474E-3
2,718;0,154;-9,834E-2;-0,994;303;-9,834E-2;4,864E-3
2,735;0,152;-0,119;-0,908;304;-0,119;7,025E-3
2,752;0,150;-0,129;0,303;305;-0,129;8,271E-3
2,768;0,148;-0,111;0,692;306;-0,111;6,167E-3
2,785;0,147;-9,834E-2;-0,821;307;-9,834E-2;4,838E-3
2,802;0,145;-0,139;-0,908;308;-0,139;9,619E-3
2,818;0,142;-0,141;-0,346;309;-0,141;9,972E-3
2,835;0,140;-0,134;1,945;310;-0,134;8,929E-3
2,852;0,138;-9,581E-2;1,902;311;-9,581E-2;4,590E-3
2,868;0,137;-4,791E-2;1,167;312;-4,791E-2;1,148E-3
2,885;0,136;-6,808E-2;-1,340;313;-6,808E-2;2,317E-3
2,902;0,135;-9,077E-2;-0,346;314;-9,077E-2;4,120E-3
2,918;0,133;-8,573E-2;0,432;315;-8,573E-2;3,675E-3
2,935;0,132;-6,808E-2;0,130;316;-6,808E-2;2,317E-3
2,952;0,131;-8,321E-2;-0,821;317;-8,321E-2;3,462E-3
2,968;0,129;-9,834E-2;-0,216;318;-9,834E-2;4,835E-3
2,985;0,127;-9,077E-2;1,210;319;-9,077E-2;4,148E-3
3,002;0,126;-5,799E-2;1,340;320;-5,799E-2;1,710E-3
3,018;0,125;-4,034E-2;1,124;321;-4,034E-2;8,138E-4
3,035;0,125;-2,774E-2;0,908;322;-2,774E-2;3,846E-4
3,052;0,124;-5,043E-3;0,605;323;-5,043E-3;9,219E-5
3,068;0,124;-7,564E-3;-0,648;324;-7,564E-3;1,081E-4
3,085;0,124;-2,774E-2;-0,475;325;-2,774E-2;3,846E-4
3,102;0,124;-2,774E-2;0,562;326;-2,774E-2;3,846E-4
3,118;0,123;-5,043E-3;1,470;327;-5,043E-3;1,272E-5
3,135;0,123;2,017E-2;1,037;328;2,017E-2;2,034E-4
3,152;0,124;3,278E-2;0,562;329;3,278E-2;5,372E-4
3,168;0,124;3,530E-2;0,519;330;3,530E-2;6,262E-4
3,185;0,125;5,043E-2;0,173;331;5,043E-2;1,275E-3
3,202;0,126;4,539E-2;-0,605;332;4,539E-2;1,033E-3
3,218;0,127;2,521E-2;-0,692;333;2,521E-2;3,211E-4
3,235;0,127;2,269E-2;0,303;334;2,269E-2;2,575E-4
3,252;0,127;3,530E-2;0,519;335;3,530E-2;6,230E-4
